,P (MPa),T (°C),Specific Volume (m^3/kg),Density (kg/m^3),Specific Internal Energy (kJ/kg),Specific Enthalpy (kJ/kg),Specific Entropy [kJ/(kg K)]
0,0.01,0.0,0.0010002,999.8,-0.040002,-0.03,-0.00015
1,0.01,5.0,0.00100008,999.92,21.0199992,21.03,0.07625
2,0.01,10.0,0.00100034,999.66,42.0199966,42.03,0.15109
3,0.01,15.0,0.00100094,999.06,62.9799906,62.99,0.22446
4,0.01,20.0,0.00100184,998.17,83.9099816,83.92,0.29648
5,0.01,25.0,0.001003,997.01,104.82997,104.84,0.36722
6,0.01,30.0,0.00100441,995.61,125.7299559,125.74,0.43675
7,0.01,35.0,0.00100604,993.99,146.6299396,146.64,0.50513
8,0.01,40.0,0.00100789,992.18,167.5299211,167.54,0.5724
9,0.01,45.0,0.00100992,990.17,188.4299008,188.44,0.63861
10,0.01,45.806,0.00101027,989.83,191.7998973,191.81,0.6492
11,0.01,45.806,14.67,0.068166,2437.2,2583.9,8.1488
12,0.01,50.0,14.867,0.067263,2443.33,2592.0,8.1741
13,0.01,55.0,15.101,0.06622,2450.59,2601.6,8.2036
14,0.01,60.0,15.335,0.065211,2457.85,2611.2,8.2326
15,0.01,65.0,15.568,0.064233,2465.02,2620.7,8.2611
16,0.01,70.0,15.801,0.063285,2472.29,2630.3,8.2891
17,0.01,75.0,16.034,0.062366,2479.46,2639.8,8.3167
18,0.01,80.0,16.267,0.061474,2486.63,2649.3,8.3439
19,0.01,85.0,16.5,0.06607,2493.9,2658.9,8.3707
20,0.01,90.0,16.732,0.059766,2501.08,2668.4,8.3971
21,0.01,95.0,16.964,0.058947,2508.26,2677.9,8.4232
22,0.01,100.0,17.196,0.058152,2515.54,2687.5,8.4489
23,0.01,105.0,17.428,0.057378,2522.72,2697.0,8.4742
24,0.01,110.0,17.66,0.056624,2529.9,2706.5,8.4993
25,0.01,115.0,17.892,0.05589,2537.18,2716.1,8.524
26,0.01,120.0,18.124,0.055176,2544.36,2725.6,8.5484
27,0.01,125.0,18.356,0.054479,2551.64,2735.2,8.5726
28,0.01,130.0,18.587,0.0538,2558.83,2744.7,8.5964
29,0.01,135.0,18.819,0.053138,2566.11,2754.3,8.62
30,0.01,140.0,19.05,0.052493,2573.4,2763.9,8.6434
31,0.01,145.0,19.282,0.051863,2580.58,2773.4,8.6664
32,0.01,150.0,19.513,0.051247,2587.87,2783.0,8.6892
33,0.01,155.0,19.745,0.05647,2595.15,2792.6,8.7118
34,0.01,160.0,19.976,0.0506,2602.54,2802.3,8.7341
35,0.01,165.0,20.207,0.049487,2609.83,2811.9,8.7562
36,0.01,170.0,20.438,0.048927,2617.12,2821.5,8.7781
37,0.01,175.0,20.67,0.04838,2624.5,2831.2,8.7997
38,0.01,180.0,20.901,0.047845,2631.79,2840.8,8.8212
39,0.01,185.0,21.132,0.047321,2639.18,2850.5,8.8424
40,0.01,190.0,21.363,0.046809,2646.57,2860.2,8.8634
41,0.01,195.0,21.594,0.046308,2653.96,2869.9,8.8843
42,0.01,200.0,21.826,0.045818,2661.34,2879.6,8.9049
43,0.01,210.0,22.288,0.044868,2676.22,2899.1,8.9456
44,0.01,220.0,22.75,0.043956,2691.1,2918.6,8.9856
45,0.01,230.0,23.212,0.043081,2705.98,2938.1,9.0248
46,0.01,240.0,23.674,0.04224,2721.06,2957.8,9.0635
47,0.01,250.0,24.136,0.041432,2736.04,2977.4,9.1015
48,0.01,260.0,24.598,0.04654,2751.22,2997.2,9.1388
49,0.01,270.0,25.06,0.039904,2766.4,3017.0,9.1756
50,0.01,280.0,25.522,0.039182,2781.58,3036.8,9.2118
51,0.01,290.0,25.984,0.038486,2796.96,3056.8,9.2475
52,0.01,300.0,26.446,0.037814,2812.24,3076.7,9.2827
53,0.01,310.0,26.907,0.037164,2827.73,3096.8,9.3173
54,0.01,320.0,27.369,0.036537,2843.21,3116.9,9.3515
55,0.01,330.0,27.831,0.035931,2858.69,3137.0,9.3852
56,0.01,340.0,28.293,0.035345,2874.37,3157.3,9.4185
57,0.01,350.0,28.755,0.034777,2889.95,3177.5,9.4513
58,0.01,360.0,29.216,0.034228,2905.74,3197.9,9.4837
59,0.01,370.0,29.678,0.033695,2921.52,3218.3,9.5157
60,0.01,380.0,30.14,0.033179,2937.4,3238.8,9.5473
61,0.01,390.0,30.601,0.032678,2953.29,3259.3,9.5785
62,0.01,400.0,31.063,0.032193,2969.27,3279.9,9.6094
63,0.01,410.0,31.525,0.031721,2985.35,3300.6,9.6398
64,0.01,420.0,31.986,0.031263,3001.54,3321.4,9.67
65,0.01,430.0,32.448,0.03818,3017.72,3342.2,9.6998
66,0.01,440.0,32.91,0.03386,3033.9,3363.0,9.7293
67,0.01,450.0,33.371,0.029966,3050.29,3384.0,9.7584
68,0.01,460.0,33.833,0.029557,3066.67,3405.0,9.7873
69,0.01,470.0,34.295,0.029159,3083.15,3426.1,9.8158
70,0.01,480.0,34.756,0.028772,3099.64,3447.2,9.8441
71,0.01,490.0,35.218,0.028395,3116.22,3468.4,9.8721
72,0.01,500.0,35.68,0.028027,3132.9,3489.7,9.8998
73,0.01,520.0,36.603,0.02732,3166.47,3532.5,9.9544
74,0.01,540.0,37.526,0.026648,3200.24,3575.5,10.008
75,0.01,560.0,38.449,0.026008,3234.31,3618.8,10.061
76,0.01,580.0,39.372,0.025398,3268.68,3662.4,10.112
77,0.01,600.0,40.296,0.024817,3303.34,3706.3,10.163
78,0.01,620.0,41.219,0.024261,3338.21,3750.4,10.213
79,0.01,640.0,42.142,0.023729,3373.48,3794.9,10.262
80,0.01,660.0,43.065,0.023221,3408.95,3839.6,10.311
81,0.01,680.0,43.988,0.022733,3444.72,3884.6,10.358
82,0.01,700.0,44.911,0.022266,3480.79,3929.9,10.406
83,0.01,720.0,45.834,0.021818,3517.16,3975.5,10.452
84,0.01,740.0,46.758,0.021387,3553.72,4021.3,10.498
85,0.01,760.0,47.681,0.02973,3590.69,4067.5,10.543
86,0.01,780.0,48.604,0.02575,3627.86,4113.9,10.587
87,0.01,800.0,49.527,0.02191,3665.33,4160.6,10.631
88,0.01,820.0,50.45,0.019822,3703.1,4207.6,10.675
89,0.01,840.0,51.373,0.019465,3741.17,4254.9,10.717
90,0.01,860.0,52.296,0.019122,3779.44,4302.4,10.76
91,0.01,880.0,53.219,0.01879,3818.01,4350.2,10.802
92,0.01,900.0,54.142,0.01847,3856.88,4398.3,10.843
93,0.01,920.0,55.065,0.01816,3896.05,4446.7,10.884
94,0.01,940.0,55.989,0.017861,3935.41,4495.3,10.924
95,0.01,960.0,56.912,0.017571,3975.08,4544.2,10.964
96,0.01,980.0,57.835,0.017291,4015.05,4593.4,11.004
97,0.01,1000.0,58.758,0.017019,4055.22,4642.8,11.043
98,0.01,1100.0,63.373,0.01578,4259.97,4893.7,11.233
99,0.01,1200.0,67.988,0.014708,4470.82,5150.7,11.413
100,0.01,1300.0,72.604,0.013773,4687.36,5413.4,11.586
101,0.01,1400.0,77.219,0.01295,4909.11,5681.3,11.751
102,0.01,1500.0,81.834,0.01222,5135.66,5954.0,11.909
103,0.01,1600.0,86.45,0.011567,5366.6,6231.1,12.061
104,0.01,1800.0,95.68,0.01452,5840.4,6797.2,12.348
105,0.01,2000.0,104.91,0.009532,6327.9,7377.0,12.615
106,0.02,0.0,0.0010002,999.8,-0.040004,-0.02,0.00015
107,0.02,5.0,0.0010007,999.93,21.019986,21.04,0.07625
108,0.02,10.0,0.00100034,999.66,42.0199932,42.04,0.15109
109,0.02,15.0,0.00100094,999.06,62.9799812,63.0,0.22446
110,0.02,20.0,0.00100183,998.17,83.9099634,83.93,0.29648
111,0.02,25.0,0.001003,997.01,104.81994,104.84,0.36722
112,0.02,30.0,0.00100441,995.61,125.7299118,125.75,0.43675
113,0.02,35.0,0.0010064,994.0,146.629872,146.65,0.50513
114,0.02,40.0,0.00100788,992.18,167.5198424,167.54,0.5724
115,0.02,45.0,0.00100992,990.18,188.4198016,188.44,0.63861
116,0.02,50.0,0.00101215,988.0,209.329757,209.35,0.70381
117,0.02,55.0,0.00101455,985.66,230.239709,230.26,0.76802
118,0.02,60.0,0.00101713,983.16,251.1596574,251.18,0.83129
119,0.02,60.058,0.00101716,983.13,251.3996568,251.42,0.83202
120,0.02,60.058,7.648,0.13075,2455.94,2608.9,7.9072
121,0.02,65.0,7.7648,0.12879,2463.304,2618.6,7.936
122,0.02,70.0,7.8826,0.12686,2470.648,2628.3,7.9646
123,0.02,75.0,8.0002,0.125,2477.996,2638.0,7.9927
124,0.02,80.0,8.1176,0.12319,2485.348,2647.7,8.0202
125,0.02,85.0,8.2348,0.12144,2492.704,2657.4,8.0474
126,0.02,90.0,8.3518,0.11973,2499.964,2667.0,8.0741
127,0.02,95.0,8.4687,0.11808,2507.226,2676.6,8.1004
128,0.02,100.0,8.5855,0.11648,2514.49,2686.2,8.1263
129,0.02,105.0,8.7022,0.11491,2521.756,2695.8,8.1519
130,0.02,110.0,8.8187,0.1134,2529.026,2705.4,8.1771
131,0.02,115.0,8.9352,0.11192,2536.296,2715.0,8.202
132,0.02,120.0,9.0516,0.1148,2543.568,2724.6,8.2266
133,0.02,125.0,9.1679,0.10908,2550.842,2734.2,8.2509
134,0.02,130.0,9.2841,0.10771,2558.218,2743.9,8.2749
135,0.02,135.0,9.4003,0.10638,2565.494,2753.5,8.2986
136,0.02,140.0,9.5164,0.10508,2572.772,2763.1,8.322
137,0.02,145.0,9.6325,0.10381,2580.05,2772.7,8.3451
138,0.02,150.0,9.7486,0.10258,2587.328,2782.3,8.368
139,0.02,155.0,9.8646,0.10137,2594.708,2792.0,8.3907
140,0.02,160.0,9.9805,0.1002,2601.99,2801.6,8.4131
141,0.02,165.0,10.096,0.09945,2609.38,2811.3,8.4352
142,0.02,170.0,10.212,0.097921,2616.66,2820.9,8.4572
143,0.02,175.0,10.328,0.096822,2624.04,2830.6,8.4789
144,0.02,180.0,10.444,0.095748,2631.42,2840.3,8.5004
145,0.02,185.0,10.56,0.094698,2638.8,2850.0,8.5216
146,0.02,190.0,10.676,0.093671,2646.18,2859.7,8.5427
147,0.02,195.0,10.791,0.092666,2653.58,2869.4,8.5636
148,0.02,200.0,10.907,0.091682,2660.96,2879.1,8.5843
149,0.02,210.0,11.139,0.089777,2675.82,2898.6,8.625
150,0.02,220.0,11.37,0.08795,2690.8,2918.2,8.6651
151,0.02,230.0,11.601,0.086197,2705.78,2937.8,8.7044
152,0.02,240.0,11.833,0.084512,2720.74,2957.4,8.7431
153,0.02,250.0,12.064,0.082892,2735.82,2977.1,8.7811
154,0.02,260.0,12.295,0.081333,2751.0,2996.9,8.8185
155,0.02,270.0,12.526,0.079832,2766.18,3016.7,8.8553
156,0.02,280.0,12.757,0.078386,2781.46,3036.6,8.8916
157,0.02,290.0,12.989,0.076991,2796.72,3056.5,8.9273
158,0.02,300.0,13.22,0.075645,2812.1,3076.5,8.9625
159,0.02,310.0,13.451,0.074346,2827.48,3096.5,8.9972
160,0.02,320.0,13.682,0.07309,2843.06,3116.7,9.0314
161,0.02,330.0,13.913,0.071876,2858.54,3136.8,9.0651
162,0.02,340.0,14.144,0.07703,2874.22,3157.1,9.0983
163,0.02,350.0,14.375,0.069566,2889.9,3177.4,9.1312
164,0.02,360.0,14.606,0.068466,2905.58,3197.7,9.1636
165,0.02,370.0,14.837,0.0674,2921.36,3218.1,9.1956
166,0.02,380.0,15.068,0.066367,2937.24,3238.6,9.2272
167,0.02,390.0,15.299,0.065365,2953.22,3259.2,9.2584
168,0.02,400.0,15.53,0.064393,2969.2,3279.8,9.2893
169,0.02,410.0,15.76,0.06345,2985.3,3300.5,9.3198
170,0.02,420.0,15.991,0.062534,3001.38,3321.2,9.3499
171,0.02,430.0,16.222,0.061644,3017.56,3342.0,9.3797
172,0.02,440.0,16.453,0.06779,3033.84,3362.9,9.4092
173,0.02,450.0,16.684,0.059937,3050.22,3383.9,9.4384
174,0.02,460.0,16.915,0.059119,3066.6,3404.9,9.4672
175,0.02,470.0,17.146,0.058323,3082.98,3425.9,9.4958
176,0.02,480.0,17.377,0.057548,3099.56,3447.1,9.5241
177,0.02,490.0,17.608,0.056794,3116.14,3468.3,9.552
178,0.02,500.0,17.838,0.056059,3132.84,3489.6,9.5798
179,0.02,520.0,18.3,0.054644,3166.4,3532.4,9.6344
180,0.02,540.0,18.762,0.0533,3200.16,3575.4,9.688
181,0.02,560.0,19.224,0.05202,3234.22,3618.7,9.7406
182,0.02,580.0,19.685,0.058,3268.6,3662.3,9.7923
183,0.02,600.0,20.147,0.049636,3303.26,3706.2,9.8431
184,0.02,620.0,20.609,0.048524,3338.22,3750.4,9.8932
185,0.02,640.0,21.07,0.047461,3373.4,3794.8,9.9424
186,0.02,660.0,21.532,0.046443,3408.86,3839.5,9.9908
187,0.02,680.0,21.993,0.045468,3444.64,3884.5,10.039
188,0.02,700.0,22.455,0.044533,3480.7,3929.8,10.086
189,0.02,720.0,22.917,0.043636,3517.06,3975.4,10.132
190,0.02,740.0,23.378,0.042775,3553.74,4021.3,10.178
191,0.02,760.0,23.84,0.041947,3590.6,4067.4,10.223
192,0.02,780.0,24.301,0.04115,3627.88,4113.9,10.267
193,0.02,800.0,24.763,0.04383,3665.34,4160.6,10.311
194,0.02,820.0,25.225,0.039644,3703.1,4207.6,10.355
195,0.02,840.0,25.686,0.038931,3741.08,4254.8,10.397
196,0.02,860.0,26.148,0.038244,3779.44,4302.4,10.44
197,0.02,880.0,26.609,0.037581,3818.02,4350.2,10.482
198,0.02,900.0,27.071,0.03694,3856.88,4398.3,10.523
199,0.02,920.0,27.532,0.036321,3896.06,4446.7,10.564
200,0.02,940.0,27.994,0.035722,3935.42,4495.3,10.604
201,0.02,960.0,28.456,0.035142,3975.08,4544.2,10.644
202,0.02,980.0,28.917,0.034582,4015.06,4593.4,10.684
203,0.02,1000.0,29.379,0.034038,4055.22,4642.8,10.723
204,0.02,1100.0,31.686,0.031559,4259.98,4893.7,10.913
205,0.02,1200.0,33.994,0.029417,4470.82,5150.7,11.093
206,0.02,1300.0,36.302,0.027547,4687.36,5413.4,11.266
207,0.02,1400.0,38.61,0.0259,4909.1,5681.3,11.431
208,0.02,1500.0,40.917,0.02444,5135.66,5954.0,11.589
209,0.02,1600.0,43.225,0.023135,5366.6,6231.1,11.741
210,0.02,1800.0,47.84,0.02903,5840.4,6797.2,12.028
211,0.02,2000.0,52.455,0.019064,6327.9,7377.0,12.295
212,0.03,0.0,0.00100019,999.81,-0.0400057,-0.01,0.00015
213,0.03,5.0,0.00100007,999.93,21.0199979,21.05,0.07625
214,0.03,10.0,0.00100033,999.67,42.0199901,42.05,0.1518
215,0.03,15.0,0.00100093,999.07,62.9799721,63.01,0.22446
216,0.03,20.0,0.00100183,998.17,83.9099451,83.94,0.29648
217,0.03,25.0,0.00100299,997.02,104.8199103,104.85,0.36722
218,0.03,30.0,0.0010044,995.62,125.729868,125.76,0.43675
219,0.03,35.0,0.00100603,994.0,146.6298191,146.66,0.50512
220,0.03,40.0,0.00100788,992.19,167.5197636,167.55,0.57239
221,0.03,45.0,0.00100992,990.18,188.4197024,188.45,0.63861
222,0.03,50.0,0.00101214,988.0,209.3296358,209.36,0.7038
223,0.03,55.0,0.00101455,985.66,230.2395635,230.27,0.7682
224,0.03,60.0,0.00101712,983.16,251.1594864,251.19,0.83129
225,0.03,65.0,0.00101987,980.52,272.0894039,272.12,0.89365
226,0.03,69.095,0.00102224,978.25,289.2393328,289.27,0.94407
227,0.03,69.095,5.2284,0.19126,2467.648,2624.5,7.7675
228,0.03,70.0,5.2428,0.19074,2469.016,2626.3,7.7727
229,0.03,75.0,5.322,0.1879,2476.54,2636.2,7.8013
230,0.03,80.0,5.401,0.18515,2483.97,2646.0,7.8292
231,0.03,85.0,5.4797,0.18249,2491.409,2655.8,7.8567
232,0.03,90.0,5.5583,0.17991,2498.751,2665.5,7.8837
233,0.03,95.0,5.6368,0.17741,2506.196,2675.3,7.9103
234,0.03,100.0,5.7151,0.17497,2513.547,2685.0,7.9365
235,0.03,105.0,5.7933,0.17261,2520.901,2694.7,7.9623
236,0.03,110.0,5.8714,0.1732,2528.158,2704.3,7.9877
237,0.03,115.0,5.9495,0.16808,2535.515,2714.0,8.0128
238,0.03,120.0,6.0274,0.16591,2542.878,2723.7,8.0375
239,0.03,125.0,6.1053,0.16379,2550.141,2733.3,8.062
240,0.03,130.0,6.183,0.16173,2557.51,2743.0,8.0861
241,0.03,135.0,6.2608,0.15972,2564.776,2752.6,8.1099
242,0.03,140.0,6.3385,0.15777,2572.145,2762.3,8.1334
243,0.03,145.0,6.4161,0.15586,2579.517,2772.0,8.1566
244,0.03,150.0,6.4937,0.154,2586.789,2781.6,8.1796
245,0.03,155.0,6.5712,0.15218,2594.164,2791.3,8.2023
246,0.03,160.0,6.6487,0.154,2601.539,2801.0,8.2248
247,0.03,165.0,6.7262,0.14867,2608.914,2810.7,8.247
248,0.03,170.0,6.8036,0.14698,2616.292,2820.4,8.269
249,0.03,175.0,6.8811,0.14533,2623.667,2830.1,8.2908
250,0.03,180.0,6.9584,0.14371,2631.048,2839.8,8.3123
251,0.03,185.0,7.0358,0.14213,2638.426,2849.5,8.3337
252,0.03,190.0,7.1131,0.1458,2645.807,2859.2,8.3548
253,0.03,195.0,7.1905,0.13907,2653.185,2868.9,8.3757
254,0.03,200.0,7.2677,0.13759,2660.669,2878.7,8.3964
255,0.03,210.0,7.4223,0.13473,2675.531,2898.2,8.4372
256,0.03,220.0,7.5768,0.13198,2690.496,2917.8,8.4773
257,0.03,230.0,7.7312,0.12935,2705.464,2937.4,8.5167
258,0.03,240.0,7.8855,0.12681,2720.535,2957.1,8.5554
259,0.03,250.0,8.0399,0.12438,2735.603,2976.8,8.5935
260,0.03,260.0,8.1941,0.12204,2750.777,2996.6,8.6309
261,0.03,270.0,8.3484,0.11978,2765.948,3016.4,8.6678
262,0.03,280.0,8.5026,0.11761,2781.222,3036.3,8.7041
263,0.03,290.0,8.6568,0.11552,2796.496,3056.2,8.7398
264,0.03,300.0,8.811,0.11349,2811.87,3076.2,8.775
265,0.03,310.0,8.9651,0.11154,2827.347,3096.3,8.8097
266,0.03,320.0,9.1192,0.10966,2842.824,3116.4,8.8439
267,0.03,330.0,9.2733,0.10784,2858.401,3136.6,8.8777
268,0.03,340.0,9.4274,0.10607,2874.078,3156.9,8.911
269,0.03,350.0,9.5815,0.10437,2889.755,3177.2,8.9438
270,0.03,360.0,9.7356,0.10272,2905.432,3197.5,8.9763
271,0.03,370.0,9.8896,0.10112,2921.312,3218.0,9.0083
272,0.03,380.0,10.044,0.099565,2937.18,3238.5,9.0399
273,0.03,390.0,10.198,0.098062,2953.06,3259.0,9.0711
274,0.03,400.0,10.352,0.096603,2969.04,3279.6,9.102
275,0.03,410.0,10.506,0.095187,2985.12,3300.3,9.1325
276,0.03,420.0,10.66,0.093811,3001.3,3321.1,9.1627
277,0.03,430.0,10.814,0.092476,3017.48,3341.9,9.1925
278,0.03,440.0,10.968,0.091177,3033.76,3362.8,9.222
279,0.03,450.0,11.122,0.089915,3050.04,3383.7,9.2511
280,0.03,460.0,11.276,0.088687,3066.42,3404.7,9.28
281,0.03,470.0,11.43,0.087493,3082.9,3425.8,9.3086
282,0.03,480.0,11.584,0.08633,3099.48,3447.0,9.3368
283,0.03,490.0,11.737,0.085197,3116.09,3468.2,9.3648
284,0.03,500.0,11.891,0.084094,3132.77,3489.5,9.3925
285,0.03,520.0,12.199,0.081972,3166.33,3532.3,9.4471
286,0.03,540.0,12.507,0.079954,3200.09,3575.3,9.5007
287,0.03,560.0,12.815,0.078034,3234.15,3618.6,9.5534
288,0.03,580.0,13.123,0.076203,3268.51,3662.2,9.6051
289,0.03,600.0,13.431,0.074457,3303.17,3706.1,9.6559
290,0.03,620.0,13.738,0.072789,3338.16,3750.3,9.706
291,0.03,640.0,14.046,0.071193,3373.32,3794.7,9.7552
292,0.03,660.0,14.354,0.069667,3408.88,3839.5,9.8036
293,0.03,680.0,14.662,0.068204,3444.64,3884.5,9.8514
294,0.03,700.0,14.97,0.066802,3480.7,3929.8,9.8984
295,0.03,720.0,15.277,0.065456,3517.09,3975.4,9.9448
296,0.03,740.0,15.585,0.064164,3553.65,4021.2,9.9905
297,0.03,760.0,15.893,0.062921,3590.61,4067.4,10.036
298,0.03,780.0,16.201,0.061726,3627.77,4113.8,10.08
299,0.03,800.0,16.508,0.06575,3665.26,4160.5,10.124
300,0.03,820.0,16.816,0.059467,3703.02,4207.5,10.167
301,0.03,840.0,17.124,0.058398,3741.08,4254.8,10.21
302,0.03,860.0,17.432,0.057367,3779.34,4302.3,10.253
303,0.03,880.0,17.739,0.056372,3818.03,4350.2,10.294
304,0.03,900.0,18.047,0.055411,3856.89,4398.3,10.336
305,0.03,920.0,18.355,0.054482,3895.95,4446.6,10.377
306,0.03,940.0,18.663,0.053583,3935.41,4495.3,10.417
307,0.03,960.0,18.97,0.052714,3975.1,4544.2,10.457
308,0.03,980.0,19.278,0.051873,4014.96,4593.3,10.497
309,0.03,1000.0,19.586,0.051058,4055.22,4642.8,10.536
310,0.03,1100.0,21.124,0.047339,4259.98,4893.7,10.725
311,0.03,1200.0,22.663,0.044125,4470.81,5150.7,10.906
312,0.03,1300.0,24.201,0.04132,4687.37,5413.4,11.079
313,0.03,1400.0,25.74,0.03885,4909.0,5681.2,11.244
314,0.03,1500.0,27.278,0.036659,5135.56,5953.9,11.402
315,0.03,1600.0,28.817,0.034702,5366.59,6231.1,11.554
316,0.03,1800.0,31.894,0.031354,5840.38,6797.2,11.841
317,0.03,2000.0,34.97,0.028596,6327.9,7377.0,12.108
318,0.04,0.0,0.00100019,999.81,-0.0400076,0.0,-0.00015
319,0.04,5.0,0.00100006,999.94,21.0199976,21.06,0.07625
320,0.04,10.0,0.00100033,999.67,42.0199868,42.06,0.15108
321,0.04,15.0,0.00100093,999.07,62.9799628,63.02,0.22446
322,0.04,20.0,0.00100182,998.18,83.9099272,83.95,0.29648
323,0.04,25.0,0.00100299,997.02,104.8198804,104.86,0.36722
324,0.04,30.0,0.0010044,995.62,125.729824,125.77,0.43674
325,0.04,35.0,0.00100603,994.01,146.6197588,146.66,0.50512
326,0.04,40.0,0.00100787,992.19,167.5196852,167.56,0.57239
327,0.04,45.0,0.00100991,990.19,188.4196036,188.46,0.6386
328,0.04,50.0,0.00101214,988.01,209.3295144,209.37,0.7038
329,0.04,55.0,0.00101454,985.67,230.2394184,230.28,0.76801
330,0.04,60.0,0.00101712,983.17,251.1593152,251.2,0.83128
331,0.04,65.0,0.00101986,980.52,272.0892056,272.13,0.89364
332,0.04,70.0,0.00102277,977.74,293.0290892,293.07,0.95513
333,0.04,75.0,0.00102584,974.82,313.9889664,314.03,1.0158
334,0.04,75.857,0.00102638,974.3,317.5789448,317.62,1.0261
335,0.04,75.857,3.993,0.25044,2476.38,2636.1,7.669
336,0.04,80.0,4.0425,0.24737,2482.6,2644.3,7.6925
337,0.04,85.0,4.1021,0.24378,2490.116,2654.2,7.7204
338,0.04,90.0,4.1615,0.2403,2497.64,2664.1,7.7477
339,0.04,95.0,4.2208,0.23692,2505.068,2673.9,7.7746
340,0.04,100.0,4.2799,0.23365,2512.504,2683.7,7.801
341,0.04,105.0,4.3389,0.23047,2519.944,2693.5,7.827
342,0.04,110.0,4.3978,0.22739,2527.288,2703.2,7.8527
343,0.04,115.0,4.4566,0.22439,2534.736,2713.0,7.8779
344,0.04,120.0,4.5153,0.22147,2542.088,2722.7,7.9028
345,0.04,125.0,4.5739,0.21863,2549.444,2732.4,7.9274
346,0.04,130.0,4.6325,0.21587,2556.8,2742.1,7.9516
347,0.04,135.0,4.691,0.21317,2564.16,2751.8,7.9755
348,0.04,140.0,4.7495,0.21055,2571.52,2761.5,7.9992
349,0.04,145.0,4.8079,0.20799,2578.884,2771.2,8.0225
350,0.04,150.0,4.8662,0.2055,2586.252,2780.9,8.0456
351,0.04,155.0,4.9245,0.20306,2593.62,2790.6,8.0684
352,0.04,160.0,4.9828,0.20069,2600.988,2800.3,8.0909
353,0.04,165.0,5.0411,0.19837,2608.456,2810.1,8.1132
354,0.04,170.0,5.0993,0.19611,2615.828,2819.8,8.1353
355,0.04,175.0,5.1575,0.19389,2623.2,2829.5,8.1571
356,0.04,180.0,5.2156,0.19173,2630.576,2839.2,8.1787
357,0.04,185.0,5.2737,0.18962,2638.052,2849.0,8.2
358,0.04,190.0,5.3319,0.18755,2645.424,2858.7,8.2212
359,0.04,195.0,5.3899,0.18553,2652.904,2868.5,8.2421
360,0.04,200.0,5.448,0.18355,2660.28,2878.2,8.2629
361,0.04,210.0,5.5641,0.17972,2675.236,2897.8,8.3038
362,0.04,220.0,5.6801,0.17605,2690.196,2917.4,8.344
363,0.04,230.0,5.7961,0.17253,2705.156,2937.0,8.3834
364,0.04,240.0,5.912,0.16915,2720.22,2956.7,8.4222
365,0.04,250.0,6.0278,0.1659,2735.388,2976.5,8.4603
366,0.04,260.0,6.1437,0.16277,2750.552,2996.3,8.4977
367,0.04,270.0,6.2594,0.15976,2765.724,3016.1,8.5346
368,0.04,280.0,6.3752,0.15686,2780.992,3036.0,8.5709
369,0.04,290.0,6.4909,0.15406,2796.364,3056.0,8.6067
370,0.04,300.0,6.6066,0.15136,2811.736,3076.0,8.6419
371,0.04,310.0,6.7223,0.14876,2827.208,3096.1,8.6767
372,0.04,320.0,6.838,0.14624,2842.68,3116.2,8.7109
373,0.04,330.0,6.9536,0.14381,2858.256,3136.4,8.7447
374,0.04,340.0,7.0693,0.14146,2873.928,3156.7,8.778
375,0.04,350.0,7.1849,0.13918,2889.604,3177.0,8.8108
376,0.04,360.0,7.3005,0.13698,2905.38,3197.4,8.8433
377,0.04,370.0,7.4161,0.13484,2921.156,3217.8,8.8753
378,0.04,380.0,7.5316,0.13277,2937.036,3238.3,8.9069
379,0.04,390.0,7.6472,0.13077,2953.012,3258.9,8.9382
380,0.04,400.0,7.7628,0.12882,2968.988,3279.5,8.9691
381,0.04,410.0,7.8783,0.12693,2985.068,3300.2,8.9996
382,0.04,420.0,7.9938,0.1251,3001.148,3320.9,9.0297
383,0.04,430.0,8.1094,0.12331,3017.424,3341.8,9.0596
384,0.04,440.0,8.2249,0.12158,3033.604,3362.6,9.0891
385,0.04,450.0,8.3404,0.1199,3049.984,3383.6,9.1182
386,0.04,460.0,8.4559,0.11826,3066.364,3404.6,9.1471
387,0.04,470.0,8.5714,0.11667,3082.844,3425.7,9.1757
388,0.04,480.0,8.6869,0.11512,3099.424,3446.9,9.2039
389,0.04,490.0,8.8024,0.11361,3116.004,3468.1,9.2319
390,0.04,500.0,8.9179,0.11213,3132.684,3489.4,9.2596
391,0.04,520.0,9.1488,0.1093,3166.248,3532.2,9.3143
392,0.04,540.0,9.3798,0.10661,3200.008,3575.2,9.3679
393,0.04,560.0,9.6107,0.10405,3234.072,3618.5,9.4205
394,0.04,580.0,9.8416,0.10161,3268.536,3662.2,9.4723
395,0.04,600.0,10.073,0.09928,3303.08,3706.0,9.5231
396,0.04,620.0,10.303,0.097055,3338.08,3750.2,9.5731
397,0.04,640.0,10.534,0.094928,3373.34,3794.7,9.6223
398,0.04,660.0,10.765,0.092892,3408.8,3839.4,9.6708
399,0.04,680.0,10.996,0.090942,3444.56,3884.4,9.7185
400,0.04,700.0,11.227,0.089072,3480.62,3929.7,9.7656
401,0.04,720.0,11.458,0.087277,3516.98,3975.3,9.8119
402,0.04,740.0,11.689,0.085554,3553.64,4021.2,9.8577
403,0.04,760.0,11.919,0.083897,3590.54,4067.3,9.9028
404,0.04,780.0,12.15,0.082303,3627.8,4113.8,9.9473
405,0.04,800.0,12.381,0.080769,3665.26,4160.5,9.9912
